Timeframe,Months,No_total_hospitalizations,No_unique_patients,No_total_events,No_training_hospitalizations,No_training_patients,No_training_events,No_validation_hospitalizations,No_validation_patients,No_validation_events,auc_roc_train,lower_roc_train,upper_roc_train,auc_roc_validation,lower_roc_validation,upper_roc_validation,auc_pr_train,lower_pr_train,upper_pr_train,auc_pr_validation,lower_pr_validation,upper_pr_validation,Youden cut-off,MCC train,MCC validation,F1 train,F1 validation,BS train,BS validation,BSS train,BSS validation
0.5y,6,7186,5797,194,5014,4057,137,2172,1740,57,0.853087394,0.825635554,0.878714561,0.805514398,0.848157248,0.75932701,0.469845759,0.472596071,0.453260762,0.213176732,0.234232679,0.201612555,0.031587459,0.296240065,0.249077008,0.300417246,0.252808989,0.047946919,0.057502257,0.253097107,0.05678468
1y,12,6766,5455,324,4712,3809,236,2054,1646,88,0.855166199,0.832827705,0.876216608,0.826520187,0.862139701,0.789110935,0.554183914,0.554641436,0.540470537,0.417911673,0.429383706,0.406997038,0.060884912,0.398370201,0.336698495,0.454787234,0.4,0.074053475,0.079542264,0.268182738,0.193827348
1.5y,18,6317,5086,441,4398,3544,311,1919,1542,130,0.856821487,0.836766726,0.876060407,0.816782555,0.844403203,0.786286041,0.563021562,0.564219623,0.555126272,0.486400778,0.488838253,0.470537693,0.078258537,0.46267366,0.411530512,0.539273154,0.514705882,0.092372693,0.115854487,0.271375079,0.162778844
2y,24,5988,4811,538,4175,3358,382,1813,1453,156,0.877059463,0.85942245,0.895480288,0.838360827,0.865410717,0.810842978,0.696780661,0.697381403,0.68793888,0.557510203,0.55967017,0.543658024,0.161532089,0.533392413,0.470208316,0.621064061,0.587112172,0.090823523,0.121314296,0.389111196,0.251084085
2.5y,32,5677,4551,662,3961,3175,474,1716,1376,188,0.871492475,0.855563167,0.888510425,0.839112785,0.864284735,0.810689837,0.733887402,0.73417732,0.726989784,0.616083598,0.617435779,0.600728572,0.220004842,0.553766849,0.482865769,0.662226451,0.616740088,0.10547928,0.130586613,0.400226236,0.284452577
3y,36,5456,4364,764,3804,3042,539,1652,1322,225,0.876026307,0.860058904,0.891383415,0.854746411,0.877153389,0.829370906,0.775817939,0.775931306,0.769618443,0.678627547,0.680984813,0.670684153,0.326600134,0.598717128,0.537232884,0.709620477,0.669404517,0.110462839,0.130799722,0.432666141,0.339896695
3.5y,42,5200,4157,869,3624,2896,609,1576,1261,260,0.878878037,0.864115757,0.893815529,0.862695538,0.883334423,0.839460257,0.802000339,0.802173128,0.796984255,0.746292645,0.746897035,0.733149892,0.249943659,0.574018203,0.546370417,0.711815562,0.697368421,0.117325409,0.133222972,0.443396585,0.374901639
4y,48,4809,3856,960,3341,2679,669,1468,1177,291,0.877886125,0.86388237,0.891671468,0.853851931,0.87590139,0.830312331,0.814752055,0.814892043,0.80890896,0.767775938,0.769029884,0.759625289,0.310999781,0.593427447,0.55026435,0.734087694,0.713826367,0.123543607,0.141900547,0.442667404,0.371903368
4.5y,54,4319,3483,1037,2987,2409,722,1332,1074,315,0.885398947,0.872400542,0.898140249,0.854733922,0.8758175,0.831752933,0.847416719,0.847473063,0.842783767,0.797543017,0.797788791,0.786553236,0.493715018,0.635421412,0.534949969,0.75867052,0.692041522,0.123887168,0.145543594,0.462553584,0.373797243
5y,60,3871,3130,1115,2665,2155,774,1206,975,341,0.888233469,0.875229306,0.900727989,0.856683545,0.878205737,0.833746215,0.861396204,0.861444042,0.857061945,0.814791911,0.815013814,0.804314389,0.502081633,0.640762044,0.543645055,0.771906355,0.710610932,0.126149345,0.146715171,0.46954331,0.38329736
5.5y,66,3357,2728,1165,2301,1870,809,1056,858,356,0.882361367,0.869534024,0.895081327,0.86338964,0.884026182,0.840781441,0.858373384,0.858423872,0.854204932,0.83635625,0.836530631,0.826505002,0.509298623,0.621803461,0.582120852,0.766175529,0.73993808,0.132144175,0.1438302,0.452242386,0.404985917
6y,72,2861,2347,1203,1951,1598,838,910,749,365,0.876442433,0.863069211,0.889316889,0.857782241,0.878631618,0.83558956,0.856401512,0.856446225,0.852416687,0.834573307,0.83473081,0.826047983,0.45187366,0.602282932,0.572655623,0.766467066,0.75177305,0.137010443,0.148512943,0.437850767,0.390236017
