Timeframe,Months,No_total_hospitalizations,No_unique_patients,No_total_events,No_training_hospitalizations,No_training_patients,No_training_events,No_validation_hospitalizations,No_validation_patients,No_validation_events,auc_roc_train,lower_roc_train,upper_roc_train,auc_roc_validation,lower_roc_validation,upper_roc_validation,auc_pr_train,lower_pr_train,upper_pr_train,auc_pr_validation,lower_pr_validation,upper_pr_validation,Youden cut-off,MCC train,MCC validation,F1 train,F1 validation,BS train,BS validation,BSS train,BSS validation
0.5y,6,7141,5756,149,4981,4027,104,2160,1729,45,0.889170755,0.862865411,0.913488797,0.843379546,0.883380084,0.801472212,0.435705264,0.437475876,0.406841343,0.369395592,0.373661591,0.290536301,0.11859256,0.420281857,0.242464093,0.428184282,0.283464567,0.04741577,0.045939665,0.183711847,0.127714033
1y,12,6683,5380,241,4651,3755,175,2032,1625,66,0.886685821,0.862515263,0.906650067,0.853565019,0.88482508,0.819924132,0.538107213,0.538978666,0.519109386,0.428284741,0.431667439,0.385922156,0.11576651,0.452102869,0.370600265,0.479310345,0.422907489,0.067360013,0.072463071,0.236591805,0.162032686
1.5y,18,6206,4988,330,4318,3476,231,1888,1512,99,0.88325169,0.864072827,0.902773291,0.847539915,0.878467124,0.815992165,0.602151204,0.602834349,0.588256577,0.460919892,0.463429733,0.428310012,0.153816223,0.489744309,0.392829194,0.555725191,0.470588235,0.082473129,0.086639332,0.303094395,0.199653289
2y,24,5847,4693,397,4073,3276,280,1774,1417,117,0.892460793,0.874301676,0.909937205,0.838372732,0.869925639,0.802116794,0.662182587,0.663297665,0.651058759,0.468193073,0.470398395,0.438741799,0.126876652,0.520206138,0.412540048,0.591715976,0.492401216,0.089675354,0.097228285,0.357898485,0.202434643
2.5y,32,5487,4395,472,3826,3067,339,1661,1328,133,0.894206645,0.877095019,0.910058898,0.820450886,0.851237658,0.785144342,0.727179918,0.7274245,0.717801282,0.511563164,0.516025222,0.4986053,0.22578378,0.599600827,0.390735569,0.681933842,0.508038585,0.095630908,0.113254611,0.39491363,0.216605869
3y,36,5235,4185,543,3651,2920,386,1584,1265,157,0.894158973,0.878864008,0.908021309,0.830155049,0.858993042,0.795188207,0.740830589,0.741082956,0.732734723,0.569137567,0.571488968,0.554595472,0.216723606,0.584637764,0.448666634,0.681576145,0.573684211,0.103410599,0.123867036,0.405005723,0.245869046
3.5y,42,4943,3954,612,3447,2757,432,1496,1197,180,0.895985154,0.881400175,0.910368738,0.831413613,0.860323378,0.798654574,0.775057397,0.775205362,0.767477057,0.620274321,0.626152903,0.612156113,0.230649903,0.601198694,0.442355568,0.706586826,0.587951807,0.10915254,0.132772242,0.417853122,0.270088652
4y,48,4515,3623,666,3142,2522,470,1373,1101,196,0.906238283,0.892935217,0.919926424,0.831885348,0.859213251,0.802132906,0.813946815,0.81405867,0.80538655,0.668280145,0.671352169,0.661297621,0.239116162,0.614470107,0.48669048,0.722735675,0.637931034,0.107129968,0.14143658,0.45232753,0.286133045
4.5y,54,4004,3235,722,2772,2241,507,1232,994,215,0.913671024,0.900015758,0.927042225,0.840504158,0.86611418,0.810566132,0.854035751,0.854123624,0.847443953,0.732882855,0.733265138,0.718153966,0.356894046,0.685807478,0.536509101,0.777887463,0.669745958,0.104977989,0.137927227,0.491871244,0.329452291
5y,60,3521,2855,765,2425,1969,534,1096,886,231,0.919542064,0.90591084,0.93174109,0.840866444,0.864810062,0.812090476,0.868063998,0.86814966,0.861819368,0.748099647,0.748441294,0.734238812,0.30197522,0.675574651,0.512493651,0.779310345,0.674556213,0.104922802,0.145527746,0.505001671,0.326788433
5.5y,66,2992,2439,800,2049,1673,557,943,766,243,0.912924211,0.89939299,0.925491796,0.830520495,0.854036712,0.801521861,0.8570792,0.857168426,0.850953432,0.73920231,0.73959632,0.726643414,0.374738812,0.680123221,0.506991701,0.784899034,0.669354839,0.108733271,0.152032436,0.499364239,0.313095559
6y,72,2481,2048,823,1686,1393,573,795,655,250,0.907136715,0.893673422,0.920008719,0.831892569,0.856746032,0.804687002,0.855224731,0.85529754,0.849364365,0.749782094,0.75008137,0.734512841,0.378507525,0.66733296,0.509651956,0.779109589,0.674556213,0.112725911,0.154456015,0.487748702,0.314243595
