Score,Type,Timeframe,Months,auc_roc,lower_roc,upper_roc,auc_pr,lower_pr,upper_pr,Youden cut-off,MCC ,F1 ,BS 
ACEF,cv,0.5y,6,0.764,0.736,0.792,0.091,0.085,0.096,1.6,0.143,0.097,0.071
ACEF,cv,1y,12,0.759,0.735,0.781,0.158,0.154,0.162,1.6,0.178,0.155,0.076
ACEF,cv,1.5y,18,0.761,0.741,0.78,0.233,0.23,0.236,1.6,0.212,0.214,0.082
ACEF,cv,2y,24,0.765,0.748,0.785,0.273,0.27,0.275,1.6,0.24,0.26,0.087
ACEF,cv,2.5y,30,0.76,0.742,0.778,0.328,0.321,0.329,1.6,0.266,0.309,0.096
ACEF,cv,3y,36,0.761,0.744,0.776,0.36,0.354,0.361,1.44,0.266,0.315,0.105
ACEF,cv,3.5y,42,0.753,0.738,0.77,0.387,0.382,0.388,1.44,0.279,0.353,0.116
ACEF,cv,4y,48,0.754,0.739,0.769,0.431,0.426,0.431,1.42,0.298,0.392,0.128
ACEF,cv,4.5y,54,0.756,0.742,0.771,0.485,0.481,0.486,1.41,0.324,0.443,0.145
ACEF,cv,5y,60,0.762,0.748,0.775,0.535,0.531,0.536,1.42,0.357,0.498,0.164
ACEF,cv,5.5y,66,0.768,0.753,0.781,0.603,0.599,0.604,1.42,0.393,0.555,0.189
ACEF,cv,6y,72,0.773,0.76,0.787,0.675,0.67,0.675,1.37,0.426,0.615,0.224
ACEF,all,0.5y,6,0.751,0.725,0.776,0.103,0.098,0.107,1.58,0.151,0.114,0.074
ACEF,all,1y,12,0.739,0.717,0.762,0.184,0.181,0.187,1.57,0.183,0.181,0.082
ACEF,all,1.5y,18,0.738,0.719,0.758,0.261,0.259,0.263,1.6,0.219,0.247,0.091
ACEF,all,2y,24,0.737,0.719,0.753,0.297,0.295,0.299,1.6,0.242,0.295,0.101
ACEF,all,2.5y,30,0.732,0.713,0.746,0.357,0.352,0.357,1.53,0.255,0.334,0.113
ACEF,all,3y,36,0.729,0.713,0.744,0.388,0.384,0.389,1.44,0.266,0.363,0.127
ACEF,all,3.5y,42,0.722,0.709,0.737,0.418,0.414,0.419,1.42,0.276,0.399,0.141
ACEF,all,4y,48,0.723,0.71,0.737,0.464,0.46,0.464,1.42,0.297,0.444,0.16
ACEF,all,4.5y,54,0.727,0.713,0.741,0.52,0.517,0.52,1.42,0.322,0.493,0.182
ACEF,all,5y,60,0.732,0.718,0.745,0.574,0.571,0.574,1.42,0.349,0.541,0.209
ACEF,all,5.5y,66,0.739,0.725,0.751,0.64,0.637,0.64,1.37,0.372,0.591,0.241
ACEF,all,6y,72,0.747,0.733,0.76,0.711,0.708,0.712,1.37,0.404,0.645,0.284
GRACE,cv,0.5y,6,0.682,0.615,0.747,0.064,0.055,0.079,104.01,0.096,0.077,0.14
GRACE,cv,1y,12,0.687,0.642,0.733,0.097,0.09,0.106,103.19,0.125,0.125,0.141
GRACE,cv,1.5y,18,0.718,0.677,0.755,0.152,0.134,0.155,103.19,0.17,0.185,0.144
GRACE,cv,2y,24,0.739,0.702,0.774,0.181,0.165,0.183,102.97,0.207,0.228,0.144
GRACE,cv,2.5y,30,0.731,0.698,0.764,0.208,0.195,0.211,102.97,0.216,0.259,0.148
GRACE,cv,3y,36,0.732,0.698,0.763,0.238,0.226,0.239,98.05,0.22,0.274,0.151
GRACE,cv,3.5y,42,0.718,0.686,0.748,0.268,0.258,0.269,98.05,0.235,0.313,0.157
GRACE,cv,4y,48,0.719,0.691,0.748,0.311,0.302,0.312,99.15,0.26,0.356,0.162
GRACE,cv,4.5y,54,0.714,0.684,0.744,0.368,0.357,0.369,99.15,0.276,0.39,0.169
